Diagnostic Test Type ,Surveillance Year,Week ending Code ,Week ending Date,HHS region ,RSV Detections,RSV Tests,Outlier
Antigen,1011,1052,1-Jan-11,10,94,459,0
Antigen,1011,1101,8-Jan-11,10,84,402,0
Antigen,1011,1102,15-Jan-11,10,85,494,0
Antigen,1011,1103,22-Jan-11,10,149,546,0
Antigen,1011,1104,29-Jan-11,10,201,707,0
Antigen,1011,1105,5-Feb-11,10,155,489,0
Antigen,1011,1106,12-Feb-11,10,254,791,0
Antigen,1011,1107,19-Feb-11,10,229,830,0
Antigen,1011,1108,26-Feb-11,10,207,751,0
Antigen,1011,1109,5-Mar-11,10,195,862,0
Antigen,1011,1110,12-Mar-11,10,145,915,0
Antigen,1011,1111,19-Mar-11,10,122,708,0
Antigen,1011,1112,26-Mar-11,10,98,702,0
Antigen,1011,1113,2-Apr-11,10,82,655,0
Antigen,1011,1114,9-Apr-11,10,59,642,0
Antigen,1011,1115,16-Apr-11,10,59,628,0
Antigen,1011,1116,23-Apr-11,10,40,443,0
Antigen,1011,1117,30-Apr-11,10,21,488,0
Antigen,1011,1118,7-May-11,10,19,405,0
Antigen,1011,1119,14-May-11,10,13,402,0
Antigen,1011,1120,21-May-11,10,14,330,0
Antigen,1011,1121,28-May-11,10,7,281,0
Antigen,1011,1122,4-Jun-11,10,10,287,0
Antigen,1011,1123,11-Jun-11,10,7,248,0
Antigen,1011,1124,18-Jun-11,10,6,253,0
Antigen,1011,1125,25-Jun-11,10,0,208,0
Antigen,1011,1126,2-Jul-11,10,1,189,0
Antigen,1011,1027,10-Jul-10,2,0,89,0
Antigen,1011,1028,17-Jul-10,2,0,85,0
Antigen,1011,1029,24-Jul-10,2,2,75,0
Antigen,1011,1030,31-Jul-10,2,1,82,0
Antigen,1011,1031,7-Aug-10,2,2,88,0
Antigen,1011,1032,14-Aug-10,2,0,138,0
Antigen,1011,1033,21-Aug-10,2,5,123,0
Antigen,1011,1034,28-Aug-10,2,2,157,0
Antigen,1011,1035,4-Sep-10,2,7,146,0
Antigen,1011,1036,11-Sep-10,2,4,163,0
Antigen,1011,1037,18-Sep-10,2,2,228,0
Antigen,1011,1038,25-Sep-10,2,5,272,0
Antigen,1011,1039,2-Oct-10,2,12,344,0
Antigen,1011,1040,9-Oct-10,2,9,383,0
Antigen,1011,1041,16-Oct-10,2,17,390,0
Antigen,1011,1042,23-Oct-10,2,25,415,0
Antigen,1011,1043,30-Oct-10,2,34,448,0
Antigen,1011,1044,6-Nov-10,2,47,546,0
Antigen,1011,1045,13-Nov-10,2,64,587,0
Antigen,1011,1046,20-Nov-10,2,86,696,0
Antigen,1011,1047,27-Nov-10,2,135,726,0
Antigen,1011,1048,4-Dec-10,2,171,809,0
Antigen,1011,1049,11-Dec-10,2,236,986,0
Antigen,1011,1050,18-Dec-10,2,253,1108,0
Antigen,1011,1051,25-Dec-10,2,277,1234,0
Antigen,1011,1052,1-Jan-11,2,280,1192,0
Antigen,1011,1101,8-Jan-11,2,275,1296,0
Antigen,1011,1102,15-Jan-11,2,193,1057,0
Antigen,1011,1103,22-Jan-11,2,189,1148,0
Antigen,1011,1104,29-Jan-11,2,220,1112,0
Antigen,1011,1105,5-Feb-11,2,179,1064,0
Antigen,1011,1106,12-Feb-11,2,179,1121,0
Antigen,1011,1107,19-Feb-11,2,158,1082,0
Antigen,1011,1108,26-Feb-11,2,172,1053,0
Antigen,1011,1109,5-Mar-11,2,131,992,0
Antigen,1011,1110,12-Mar-11,2,111,869,0
Antigen,1011,1111,19-Mar-11,2,94,815,0
Antigen,1011,1112,26-Mar-11,2,52,779,0
Antigen,1011,1113,2-Apr-11,2,46,732,0
Antigen,1011,1114,9-Apr-11,2,37,599,0
Antigen,1011,1115,16-Apr-11,2,32,544,0
Antigen,1011,1116,23-Apr-11,2,23,484,0
Antigen,1011,1117,30-Apr-11,2,11,330,0
Antigen,1011,1118,7-May-11,2,8,336,0
Antigen,1011,1119,14-May-11,2,15,321,0
Antigen,1011,1120,21-May-11,2,4,218,0
Antigen,1011,1121,28-May-11,2,7,240,0
Antigen,1011,1122,4-Jun-11,2,1,156,0
Antigen,1011,1123,11-Jun-11,2,4,165,0
Antigen,1011,1124,18-Jun-11,2,3,134,0
Antigen,1011,1125,25-Jun-11,2,2,131,0
Antigen,1011,1126,2-Jul-11,2,1,107,0
Antigen,1011,1027,10-Jul-10,3,6,96,0
Antigen,1011,1028,17-Jul-10,3,2,79,0
Antigen,1011,1029,24-Jul-10,3,4,93,0
Antigen,1011,1030,31-Jul-10,3,0,87,0
Antigen,1011,1031,7-Aug-10,3,3,72,0
Antigen,1011,1032,14-Aug-10,3,2,102,0
Antigen,1011,1033,21-Aug-10,3,3,79,0
Antigen,1011,1034,28-Aug-10,3,1,123,0
Antigen,1011,1035,4-Sep-10,3,4,121,0
Antigen,1011,1036,11-Sep-10,3,5,141,0
Antigen,1011,1037,18-Sep-10,3,2,162,0
Antigen,1011,1038,25-Sep-10,3,11,266,0
Antigen,1011,1039,2-Oct-10,3,9,232,0
Antigen,1011,1040,9-Oct-10,3,7,240,0
Antigen,1011,1041,16-Oct-10,3,15,307,0
Antigen,1011,1042,23-Oct-10,3,21,285,0
Antigen,1011,1043,30-Oct-10,3,19,342,0
Antigen,1011,1044,6-Nov-10,3,20,381,0
Antigen,1011,1045,13-Nov-10,3,31,324,0
Antigen,1011,1046,20-Nov-10,3,37,396,0
Antigen,1011,1047,27-Nov-10,3,48,370,0
Antigen,1011,1048,4-Dec-10,3,76,419,0
Antigen,1011,1049,11-Dec-10,3,81,475,0
Antigen,1011,1050,18-Dec-10,3,94,544,0
Antigen,1011,1051,25-Dec-10,3,123,554,0
Antigen,1011,1052,1-Jan-11,3,233,768,0
Antigen,1011,1101,8-Jan-11,3,236,860,0
Antigen,1011,1102,15-Jan-11,3,202,776,0
Antigen,1011,1103,22-Jan-11,3,280,945,0
Antigen,1011,1104,29-Jan-11,3,289,981,0
Antigen,1011,1105,5-Feb-11,3,343,1066,0
Antigen,1011,1106,12-Feb-11,3,345,1168,0
Antigen,1011,1107,19-Feb-11,3,313,1173,0
Antigen,1011,1108,26-Feb-11,3,285,1096,0
Antigen,1011,1109,5-Mar-11,3,251,1014,0
Antigen,1011,1110,12-Mar-11,3,205,1027,0
Antigen,1011,1111,19-Mar-11,3,144,909,0
Antigen,1011,1112,26-Mar-11,3,110,863,0
Antigen,1011,1113,2-Apr-11,3,100,719,0
Antigen,1011,1114,9-Apr-11,3,84,562,0
Antigen,1011,1115,16-Apr-11,3,50,474,0
Antigen,1011,1116,23-Apr-11,3,34,424,0
Antigen,1011,1117,30-Apr-11,3,23,377,0
Antigen,1011,1118,7-May-11,3,17,322,0
Antigen,1011,1119,14-May-11,3,5,188,0
Antigen,1011,1120,21-May-11,3,15,220,0
Antigen,1011,1121,28-May-11,3,3,183,0
Antigen,1011,1122,4-Jun-11,3,1,154,0
Antigen,1011,1123,11-Jun-11,3,3,147,0
Antigen,1011,1124,18-Jun-11,3,1,107,0
Antigen,1011,1125,25-Jun-11,3,0,122,0
Antigen,1011,1126,2-Jul-11,3,0,94,0
Antigen,1011,1027,10-Jul-10,4,17,342,0
Antigen,1011,1028,17-Jul-10,4,15,355,0
Antigen,1011,1029,24-Jul-10,4,27,335,0
Antigen,1011,1030,31-Jul-10,4,20,367,0
Antigen,1011,1031,7-Aug-10,4,22,315,0
Antigen,1011,1032,14-Aug-10,4,22,381,0
Antigen,1011,1033,21-Aug-10,4,33,470,0
Antigen,1011,1034,28-Aug-10,4,33,491,0
Antigen,1011,1035,4-Sep-10,4,34,579,0
Antigen,1011,1036,11-Sep-10,4,52,711,0
Antigen,1011,1037,18-Sep-10,4,64,698,0
Antigen,1011,1038,25-Sep-10,4,88,788,0
Antigen,1011,1039,2-Oct-10,4,104,794,0
Antigen,1011,1040,9-Oct-10,4,169,928,0
Antigen,1011,1041,16-Oct-10,4,174,1031,0
Antigen,1011,1042,23-Oct-10,4,193,1094,0
Antigen,1011,1043,30-Oct-10,4,237,1231,0
Antigen,1011,1044,6-Nov-10,4,314,1317,0
Antigen,1011,1045,13-Nov-10,4,272,1310,0
Antigen,1011,1046,20-Nov-10,4,299,1485,0
Antigen,1011,1047,27-Nov-10,4,386,1532,0
Antigen,1011,1048,4-Dec-10,4,323,1537,0
Antigen,1011,1049,11-Dec-10,4,343,1501,0
Antigen,1011,1050,18-Dec-10,4,423,1844,0
Antigen,1011,1051,25-Dec-10,4,404,2044,0
Antigen,1011,1052,1-Jan-11,4,546,2482,0
Antigen,1011,1101,8-Jan-11,4,523,2179,0
Antigen,1011,1102,15-Jan-11,4,442,2075,0
Antigen,1011,1103,22-Jan-11,4,429,2107,0
Antigen,1011,1104,29-Jan-11,4,438,2225,0
Antigen,1011,1105,5-Feb-11,4,411,2253,0
Antigen,1011,1106,12-Feb-11,4,431,2414,0
Antigen,1011,1107,19-Feb-11,4,367,2261,0
Antigen,1011,1108,26-Feb-11,4,380,2313,0
Antigen,1011,1109,5-Mar-11,4,347,2026,0
Antigen,1011,1110,12-Mar-11,4,264,1872,0
Antigen,1011,1111,19-Mar-11,4,269,1766,0
Antigen,1011,1112,26-Mar-11,4,152,1536,0
Antigen,1011,1113,2-Apr-11,4,128,1364,0
Antigen,1011,1114,9-Apr-11,4,108,1217,0
Antigen,1011,1115,16-Apr-11,4,96,1169,0
Antigen,1011,1116,23-Apr-11,4,64,1010,0
Antigen,1011,1117,30-Apr-11,4,57,949,0
Antigen,1011,1118,7-May-11,4,47,923,0
Antigen,1011,1119,14-May-11,4,49,822,0
Antigen,1011,1120,21-May-11,4,42,703,0
Antigen,1011,1121,28-May-11,4,43,700,0
Antigen,1011,1122,4-Jun-11,4,30,817,0
Antigen,1011,1123,11-Jun-11,4,34,558,0
Antigen,1011,1124,18-Jun-11,4,27,532,0
Antigen,1011,1125,25-Jun-11,4,34,442,0
Antigen,1011,1126,2-Jul-11,4,23,469,0
Antigen,1011,1027,10-Jul-10,5,0,106,0
Antigen,1011,1028,17-Jul-10,5,1,120,0
Antigen,1011,1029,24-Jul-10,5,2,124,0
Antigen,1011,1030,31-Jul-10,5,1,110,0
Antigen,1011,1031,7-Aug-10,5,1,115,0
Antigen,1011,1032,14-Aug-10,5,0,141,0
Antigen,1011,1033,21-Aug-10,5,0,155,0
Antigen,1011,1034,28-Aug-10,5,0,163,0
Antigen,1011,1035,4-Sep-10,5,1,210,0
Antigen,1011,1036,11-Sep-10,5,0,234,0
Antigen,1011,1037,18-Sep-10,5,5,297,0
Antigen,1011,1038,25-Sep-10,5,3,354,0
Antigen,1011,1039,2-Oct-10,5,2,310,0
Antigen,1011,1040,9-Oct-10,5,5,327,0
Antigen,1011,1041,16-Oct-10,5,2,346,0
Antigen,1011,1042,23-Oct-10,5,6,355,0
Antigen,1011,1043,30-Oct-10,5,6,406,0
Antigen,1011,1044,6-Nov-10,5,4,388,0
Antigen,1011,1045,13-Nov-10,5,10,455,0
Antigen,1011,1046,20-Nov-10,5,13,485,0
Antigen,1011,1047,27-Nov-10,5,16,425,0
Antigen,1011,1048,4-Dec-10,5,29,516,0
Antigen,1011,1049,11-Dec-10,5,33,556,0
Antigen,1011,1050,18-Dec-10,5,64,524,0
Antigen,1011,1051,25-Dec-10,5,82,569,0
Antigen,1011,1052,1-Jan-11,5,154,773,0
Antigen,1011,1101,8-Jan-11,5,157,833,0
Antigen,1011,1102,15-Jan-11,5,206,923,0
Antigen,1011,1103,22-Jan-11,5,322,1174,0
Antigen,1011,1104,29-Jan-11,5,397,1372,0
Antigen,1011,1105,5-Feb-11,5,441,1416,0
Antigen,1011,1106,12-Feb-11,5,506,1596,0
Antigen,1011,1107,19-Feb-11,5,566,1718,0
Antigen,1011,1108,26-Feb-11,5,584,1754,0
Antigen,1011,1109,5-Mar-11,5,565,1614,0
Antigen,1011,1110,12-Mar-11,5,486,1600,0
Antigen,1011,1111,19-Mar-11,5,437,1483,0
Antigen,1011,1112,26-Mar-11,5,340,1320,0
Antigen,1011,1113,2-Apr-11,5,259,1120,0
Antigen,1011,1114,9-Apr-11,5,179,922,0
Antigen,1011,1115,16-Apr-11,5,133,834,0
Antigen,1011,1116,23-Apr-11,5,79,611,0
Antigen,1011,1117,30-Apr-11,5,53,548,0
Antigen,1011,1118,7-May-11,5,46,477,0
Antigen,1011,1119,14-May-11,5,23,395,0
Antigen,1011,1120,21-May-11,5,12,351,0
Antigen,1011,1121,28-May-11,5,10,279,0
Antigen,1011,1122,4-Jun-11,5,6,226,0
Antigen,1011,1123,11-Jun-11,5,3,226,0
Antigen,1011,1124,18-Jun-11,5,6,185,0
Antigen,1011,1125,25-Jun-11,5,5,170,0
Antigen,1011,1126,2-Jul-11,5,3,153,0
Antigen,1011,1027,10-Jul-10,6,0,223,0
Antigen,1011,1028,17-Jul-10,6,2,250,0
Antigen,1011,1029,24-Jul-10,6,1,259,0
Antigen,1011,1030,31-Jul-10,6,1,229,0
Antigen,1011,1031,7-Aug-10,6,1,191,0
Antigen,1011,1032,14-Aug-10,6,2,279,0
Antigen,1011,1033,21-Aug-10,6,1,287,0
Antigen,1011,1034,28-Aug-10,6,2,375,0
Antigen,1011,1035,4-Sep-10,6,3,421,0
Antigen,1011,1036,11-Sep-10,6,8,640,0
Antigen,1011,1037,18-Sep-10,6,5,597,0
Antigen,1011,1038,25-Sep-10,6,9,574,0
Antigen,1011,1039,2-Oct-10,6,10,641,0
Antigen,1011,1040,9-Oct-10,6,15,731,0
Antigen,1011,1041,16-Oct-10,6,23,768,0
Antigen,1011,1042,23-Oct-10,6,45,735,0
Antigen,1011,1043,30-Oct-10,6,26,715,0
Antigen,1011,1044,6-Nov-10,6,50,803,0
Antigen,1011,1045,13-Nov-10,6,82,1020,0
Antigen,1011,1046,20-Nov-10,6,97,1052,0
Antigen,1011,1047,27-Nov-10,6,153,1088,0
Antigen,1011,1048,4-Dec-10,6,164,1161,0
Antigen,1011,1049,11-Dec-10,6,211,1257,0
Antigen,1011,1050,18-Dec-10,6,301,1690,0
Antigen,1011,1051,25-Dec-10,6,444,1865,0
Antigen,1011,1052,1-Jan-11,6,622,2333,0
Antigen,1011,1101,8-Jan-11,6,605,2251,0
Antigen,1011,1102,15-Jan-11,6,608,2216,0
Antigen,1011,1103,22-Jan-11,6,702,2557,0
Antigen,1011,1104,29-Jan-11,6,834,2821,0
Antigen,1011,1105,5-Feb-11,6,718,2553,0
Antigen,1011,1106,12-Feb-11,6,780,2621,0
Antigen,1011,1107,19-Feb-11,6,672,2537,0
Antigen,1011,1108,26-Feb-11,6,639,2473,0
Antigen,1011,1109,5-Mar-11,6,534,2245,0
Antigen,1011,1110,12-Mar-11,6,392,2028,0
Antigen,1011,1111,19-Mar-11,6,308,1824,0
Antigen,1011,1112,26-Mar-11,6,189,1429,0
Antigen,1011,1113,2-Apr-11,6,90,970,0
Antigen,1011,1114,9-Apr-11,6,59,1058,0
Antigen,1011,1115,16-Apr-11,6,49,835,0
Antigen,1011,1116,23-Apr-11,6,37,697,0
Antigen,1011,1117,30-Apr-11,6,26,573,0
Antigen,1011,1118,7-May-11,6,7,481,0
Antigen,1011,1119,14-May-11,6,11,462,0
Antigen,1011,1120,21-May-11,6,9,422,0
Antigen,1011,1121,28-May-11,6,12,312,0
Antigen,1011,1122,4-Jun-11,6,5,304,0
Antigen,1011,1123,11-Jun-11,6,3,244,0
Antigen,1011,1124,18-Jun-11,6,2,253,0
Antigen,1011,1125,25-Jun-11,6,2,212,0
Antigen,1011,1126,2-Jul-11,6,0,187,0
Antigen,1011,1027,10-Jul-10,7,0,141,0
Antigen,1011,1028,17-Jul-10,7,0,120,0
Antigen,1011,1029,24-Jul-10,7,0,141,0
Antigen,1011,1030,31-Jul-10,7,0,139,0
Antigen,1011,1031,7-Aug-10,7,0,117,0
Antigen,1011,1032,14-Aug-10,7,1,151,0
Antigen,1011,1033,21-Aug-10,7,1,129,0
Antigen,1011,1034,28-Aug-10,7,1,170,0
Antigen,1011,1035,4-Sep-10,7,0,185,0
Antigen,1011,1036,11-Sep-10,7,0,211,0
Antigen,1011,1037,18-Sep-10,7,0,253,0
Antigen,1011,1038,25-Sep-10,7,0,258,0
Antigen,1011,1039,2-Oct-10,7,0,230,0
Antigen,1011,1040,9-Oct-10,7,2,262,0
Antigen,1011,1041,16-Oct-10,7,1,268,0
Antigen,1011,1042,23-Oct-10,7,3,309,0
Antigen,1011,1043,30-Oct-10,7,5,315,0
Antigen,1011,1044,6-Nov-10,7,7,305,0
Antigen,1011,1045,13-Nov-10,7,7,335,0
Antigen,1011,1046,20-Nov-10,7,5,312,0
Antigen,1011,1047,27-Nov-10,7,6,314,0
Antigen,1011,1048,4-Dec-10,7,12,341,0
Antigen,1011,1049,11-Dec-10,7,24,384,0
Antigen,1011,1050,18-Dec-10,7,40,414,0
Antigen,1011,1051,25-Dec-10,7,39,391,0
Antigen,1011,1052,1-Jan-11,7,79,624,0
Antigen,1011,1101,8-Jan-11,7,95,572,0
Antigen,1011,1102,15-Jan-11,7,66,582,0
Antigen,1011,1103,22-Jan-11,7,107,566,0
Antigen,1011,1104,29-Jan-11,7,180,798,0
Antigen,1011,1105,5-Feb-11,7,187,728,0
Antigen,1011,1106,12-Feb-11,7,216,847,0
Antigen,1011,1107,19-Feb-11,7,244,834,0
Antigen,1011,1108,26-Feb-11,7,245,839,0
Antigen,1011,1109,5-Mar-11,7,259,912,0
Antigen,1011,1110,12-Mar-11,7,230,868,0
Antigen,1011,1111,19-Mar-11,7,184,828,0
Antigen,1011,1112,26-Mar-11,7,153,738,0
Antigen,1011,1113,2-Apr-11,7,69,537,0
Antigen,1011,1114,9-Apr-11,7,57,488,0
Antigen,1011,1115,16-Apr-11,7,36,418,0
Antigen,1011,1116,23-Apr-11,7,33,367,0
Antigen,1011,1117,30-Apr-11,7,20,339,0
Antigen,1011,1118,7-May-11,7,13,334,0
Antigen,1011,1119,14-May-11,7,8,268,0
Antigen,1011,1120,21-May-11,7,5,227,0
Antigen,1011,1121,28-May-11,7,3,262,0
Antigen,1011,1122,4-Jun-11,7,4,198,0
Antigen,1011,1123,11-Jun-11,7,1,195,0
Antigen,1011,1124,18-Jun-11,7,0,154,0
Antigen,1011,1125,25-Jun-11,7,0,138,0
Antigen,1011,1126,2-Jul-11,7,0,148,0
Antigen,1011,1027,10-Jul-10,8,0,202,0
Antigen,1011,1028,17-Jul-10,8,0,196,0
Antigen,1011,1029,24-Jul-10,8,1,154,0
Antigen,1011,1030,31-Jul-10,8,2,148,0
Antigen,1011,1031,7-Aug-10,8,0,100,0
Antigen,1011,1032,14-Aug-10,8,1,150,0
Antigen,1011,1033,21-Aug-10,8,1,187,0
Antigen,1011,1034,28-Aug-10,8,0,165,0
Antigen,1011,1035,4-Sep-10,8,0,240,0
Antigen,1011,1036,11-Sep-10,8,0,246,0
Antigen,1011,1037,18-Sep-10,8,0,278,0
Antigen,1011,1038,25-Sep-10,8,1,306,0
Antigen,1011,1039,2-Oct-10,8,2,284,0
Antigen,1011,1040,9-Oct-10,8,1,271,0
Antigen,1011,1041,16-Oct-10,8,4,297,0
Antigen,1011,1042,23-Oct-10,8,3,350,0
Antigen,1011,1043,30-Oct-10,8,0,276,0
Antigen,1011,1044,6-Nov-10,8,5,356,0
Antigen,1011,1045,13-Nov-10,8,7,399,0
Antigen,1011,1046,20-Nov-10,8,8,377,0
Antigen,1011,1047,27-Nov-10,8,4,432,0
Antigen,1011,1048,4-Dec-10,8,7,441,0
Antigen,1011,1049,11-Dec-10,8,16,502,0
Antigen,1011,1050,18-Dec-10,8,28,571,0
Antigen,1011,1051,25-Dec-10,8,35,529,0
Antigen,1011,1052,1-Jan-11,8,83,609,0
Antigen,1011,1101,8-Jan-11,8,100,651,0
Antigen,1011,1102,15-Jan-11,8,101,617,0
Antigen,1011,1103,22-Jan-11,8,169,759,0
Antigen,1011,1104,29-Jan-11,8,216,823,0
Antigen,1011,1105,5-Feb-11,8,286,895,0
Antigen,1011,1106,12-Feb-11,8,286,978,0
Antigen,1011,1107,19-Feb-11,8,424,1239,1
Antigen,1011,1108,26-Feb-11,8,386,1255,0
Antigen,1011,1109,5-Mar-11,8,334,1096,0
Antigen,1011,1110,12-Mar-11,8,312,1122,0
Antigen,1011,1111,19-Mar-11,8,209,951,0
Antigen,1011,1112,26-Mar-11,8,206,902,0
Antigen,1011,1113,2-Apr-11,8,155,783,0
Antigen,1011,1114,9-Apr-11,8,121,680,0
Antigen,1011,1115,16-Apr-11,8,78,659,0
Antigen,1011,1116,23-Apr-11,8,81,592,0
Antigen,1011,1117,30-Apr-11,8,54,533,0
Antigen,1011,1118,7-May-11,8,45,495,0
Antigen,1011,1119,14-May-11,8,25,449,0
Antigen,1011,1120,21-May-11,8,31,408,0
Antigen,1011,1121,28-May-11,8,18,390,0
Antigen,1011,1122,4-Jun-11,8,10,317,0
Antigen,1011,1123,11-Jun-11,8,12,349,0
Antigen,1011,1124,18-Jun-11,8,11,263,0
Antigen,1011,1125,25-Jun-11,8,6,244,0
Antigen,1011,1126,2-Jul-11,8,0,207,0
Antigen,1011,1027,10-Jul-10,9,10,255,0
Antigen,1011,1028,17-Jul-10,9,7,282,0
Antigen,1011,1029,24-Jul-10,9,21,273,0
Antigen,1011,1030,31-Jul-10,9,14,238,0
Antigen,1011,1031,7-Aug-10,9,8,271,0
Antigen,1011,1032,14-Aug-10,9,23,310,0
Antigen,1011,1033,21-Aug-10,9,10,339,0
Antigen,1011,1034,28-Aug-10,9,14,320,0
Antigen,1011,1035,4-Sep-10,9,16,313,0
Antigen,1011,1036,11-Sep-10,9,20,403,0
Antigen,1011,1037,18-Sep-10,9,15,398,0
Antigen,1011,1038,25-Sep-10,9,15,447,0
Antigen,1011,1039,2-Oct-10,9,5,427,0
Antigen,1011,1040,9-Oct-10,9,34,437,0
Antigen,1011,1041,16-Oct-10,9,27,506,0
Antigen,1011,1042,23-Oct-10,9,44,521,0
Antigen,1011,1043,30-Oct-10,9,28,516,0
Antigen,1011,1044,6-Nov-10,9,35,600,0
Antigen,1011,1045,13-Nov-10,9,53,656,0
Antigen,1011,1046,20-Nov-10,9,77,776,0
Antigen,1011,1047,27-Nov-10,9,94,738,0
Antigen,1011,1048,4-Dec-10,9,125,821,0
Antigen,1011,1049,11-Dec-10,9,188,959,0
Antigen,1011,1050,18-Dec-10,9,256,1129,0
Antigen,1011,1051,25-Dec-10,9,328,1064,0
Antigen,1011,1052,1-Jan-11,9,488,1429,0
Antigen,1011,1101,8-Jan-11,9,481,1348,0
Antigen,1011,1102,15-Jan-11,9,472,1471,0
Antigen,1011,1103,22-Jan-11,9,530,1599,0
Antigen,1011,1104,29-Jan-11,9,577,1789,0
Antigen,1011,1105,5-Feb-11,9,486,1534,0
Antigen,1011,1106,12-Feb-11,9,506,1733,0
Antigen,1011,1107,19-Feb-11,9,436,1581,0
Antigen,1011,1108,26-Feb-11,9,369,1496,0
Antigen,1011,1109,5-Mar-11,9,317,1415,0
Antigen,1011,1110,12-Mar-11,9,242,1346,0
Antigen,1011,1111,19-Mar-11,9,177,1219,0
Antigen,1011,1112,26-Mar-11,9,122,1045,0
Antigen,1011,1113,2-Apr-11,9,113,946,0
Antigen,1011,1114,9-Apr-11,9,53,816,0
Antigen,1011,1115,16-Apr-11,9,51,805,0
Antigen,1011,1116,23-Apr-11,9,39,723,0
Antigen,1011,1117,30-Apr-11,9,40,687,0
Antigen,1011,1118,7-May-11,9,20,562,0
Antigen,1011,1119,14-May-11,9,18,531,0
